RHA_Year,Agricultural_use,Aquacultural_use,Availability,DBO5_contaminated,Domestic_use,DQO_contaminated,Industrial_use,Livestock_use,Multiple_use,PIB,Population_density,Public_urban_use,Rainfall,Runoff,Services_use,SST_contaminated,Temperature,Water_stress,Water_stress_lagged
Península de Baja California_2017,5787.52,3.07,4858,9.299999999999999,1.71,36.1,149.33,15.0,587.2,4.36,29.790353839472647,925.91,153.5,3218,44.14,1.3,23.2875,81.32,81.2
Península de Baja California_2018,5947.47,3.31,4858,11.899999999999999,1.65,39.8,150.35,14.93,594.2,3.9012500000000006,30.277315772075266,1594.28,144.0,3218,44.83,1.0,22.604166666666664,89.92,81.32
Península de Baja California_2019,6136.24,3.31,4858,14.3,1.65,36.9,149.48,15.12,593.84,3.9012500000000006,30.75040024889972,1594.13,238.5,3218,44.9,7.9,21.799999999999997,91.86,89.92
Península de Yucatán_2006,1659.9,74.91,29645,0.0,0.16,0.0,91.25,34.04,790.7,4.22,27.3426949827373,920.62,1185.3333333333333,4329,402.84,0.0,26.695638156302973,6.74,6.31
Península de Yucatán_2007,1710.17,75.37,29645,0.0,0.16,0.0,91.73,38.48,862.7,6.417083333333333,27.871355354296373,922.15,1130.3333333333333,4329,547.92,0.0,26.74565564010794,7.2,6.74
Península de Yucatán_2008,1830.81,15.52,29645,0.0,0.17,0.0,93.2,39.76,1000.47,6.417083333333333,28.474320392860463,941.87,1223.0,4329,795.71,0.0,26.517171863000836,7.99,7.2
Península de Yucatán_2009,1957.53,17.2,29645,0.0,0.19,5.0,95.39,41.74,1245.74,8.0,29.05208117400659,1176.17,990.0,4330,910.07,0.0,26.971846259555733,9.21,7.99
Península de Yucatán_2010,2088.11,17.39,29596,0.0,0.22,5.0,105.68,41.17,1310.88,8.17,29.63794077070988,1178.69,1333.6666666666667,4280,927.4,0.0,26.000817808054894,9.61,9.21
Península de Yucatán_2011,2258.85,17.23,29856,0.0,0.24,0.0,104.54,41.46,1386.69,8.34,30.426885494327973,1193.2,1210.0,4541,932.49,8.100000000000001,26.594479672241587,9.97,9.61
Península de Yucatán_2012,2601.17,18.39,29856,0.0,0.25,1.5,114.72,43.7,1721.77,8.01,31.04657712459881,1200.57,1142.3333333333333,4541,987.96,7.6000000000000005,26.425,11.23,9.97
Península de Yucatán_2013,3013.0,18.58,29856,0.0,0.28,26.4,123.63,45.88,2209.1,7.83,31.66382409915867,1175.94,1671.6666666666667,4541,1023.23,1.5,27.1524705284434,12.77,11.23
Península de Yucatán_2014,3404.64,22.5,29324,0.0,0.29,24.5,121.25,46.6,2376.2,7.38,32.27769716291271,1221.38,1298.6666666666667,4008,1080.35,1.0,27.102777777777778,14.15,12.77
Península de Yucatán_2015,3336.14,30.77,29324,0.0,0.34,20.799999999999997,120.1,46.42,2548.33,5.82,32.89053374983023,1223.85,1266.6666666666667,4008,1068.93,1.5,27.666666666666668,14.32,14.15
Península de Yucatán_2016,3588.22,35.5,29647,0.0,0.35,14.9,138.95,50.23,2728.71,5.27,33.50517166200848,1248.64,1057.0,4331,1180.61,0.5,27.53888888888889,15.17,14.32
Península de Yucatán_2017,3970.08,37.07,29647,2.1,0.36,27.1,142.34,53.89,2836.94,5.42,34.11464863435241,1279.91,1311.6666666666667,4331,1239.49,0.5,27.41666666666666,16.17,15.17
Península de Yucatán_2018,4084.21,41.02,29647,0.0,0.38,36.2,148.75,62.75,3000.39,6.417083333333333,34.72393975567739,1282.84,1231.6666666666667,4331,1265.36,1.1,27.094444444444445,16.72,16.17
Península de Yucatán_2019,4138.95,41.55,29647,11.9,0.39,71.4,149.05,63.53,3036.5,6.417083333333333,35.32591835421774,1283.62,1124.3333333333333,4331,1314.95,1.4,27.7,16.96,16.72
Río Bravo_2006,14741.88,13.31,11938,14.8,5.11,20.5,375.83,54.33,424.05,15.66,27.03426902981252,2351.66,552.75,6857,27.76,33.3,21.881013280802968,76.33,72.43
